date;price
01.01.1980;526.5
02.01.1980;567.5
03.01.1980;623
04.01.1980;590
07.01.1980;630
08.01.1980;617
09.01.1980;610
10.01.1980;600.5
11.01.1980;623.5
14.01.1980;656.5
15.01.1980;687.5
16.01.1980;755
17.01.1980;760
18.01.1980;835
21.01.1980;825
22.01.1980;690
23.01.1980;700
24.01.1980;705
25.01.1980;670
28.01.1980;630.5
29.01.1980;670
30.01.1980;690
31.01.1980;650
01.02.1980;677.5
04.02.1980;667
05.02.1980;685.5
06.02.1980;717.5
07.02.1980;697.5
08.02.1980;697.5
11.02.1980;712.5
12.02.1980;697.5
13.02.1980;695
14.02.1980;667.5
15.02.1980;658.5
18.02.1980;662.5
19.02.1980;648.5
20.02.1980;627.5
21.02.1980;657.5
22.02.1980;629.5
25.02.1980;627.5
26.02.1980;640.5
27.02.1980;642.5
28.02.1980;641.5
29.02.1980;640.5
03.03.1980;637.5
04.03.1980;637.5
05.03.1980;646.5
06.03.1980;627.5
07.03.1980;613.5
10.03.1980;585.5
11.03.1980;568.5
12.03.1980;587.5
13.03.1980;555.5
14.03.1980;530
17.03.1980;479
18.03.1980;481
19.03.1980;520
20.03.1980;553
21.03.1980;529
24.03.1980;565.5
25.03.1980;540.5
26.03.1980;507.5
27.03.1980;473
28.03.1980;485
31.03.1980;504
01.04.1980;503
02.04.1980;501
03.04.1980;477.5
04.04.1980;477.5
07.04.1980;477.5
08.04.1980;539.5
09.04.1980;547.5
10.04.1980;527.5
11.04.1980;527.5
14.04.1980;524.5
15.04.1980;497.5
16.04.1980;529.5
17.04.1980;511.5
18.04.1980;512.5
21.04.1980;512.5
22.04.1980;505.5
23.04.1980;507.5
24.04.1980;522.5
25.04.1980;550.5
28.04.1980;525.5
29.04.1980;518.5
30.04.1980;514.5
01.05.1980;497.5
02.05.1980;512.5
05.05.1980;512.5
06.05.1980;512.5
07.05.1980;510.5
08.05.1980;516.5
09.05.1980;512.5
12.05.1980;513.5
13.05.1980;515
14.05.1980;525.5
15.05.1980;518.5
16.05.1980;516.5
19.05.1980;514.5
20.05.1980;507
21.05.1980;514
22.05.1980;502
23.05.1980;502
26.05.1980;502
27.05.1980;514.5
28.05.1980;523.5
29.05.1980;518.5
30.05.1980;535.5
02.06.1980;558.5
03.06.1980;553
04.06.1980;577
05.06.1980;587
06.06.1980;599
09.06.1980;626
10.06.1980;604
11.06.1980;602
12.06.1980;591
13.06.1980;607
16.06.1980;595
17.06.1980;591.5
18.06.1980;604.5
19.06.1980;600.5
20.06.1980;603.5
23.06.1980;596.5
24.06.1980;604.5
25.06.1980;625.5
26.06.1980;623.5
27.06.1980;637.5
30.06.1980;651.5
01.07.1980;660.5
02.07.1980;663.5
03.07.1980;663.5
04.07.1980;666.5
07.07.1980;676.5
08.07.1980;682.5
09.07.1980;663.5
10.07.1980;660.5
11.07.1980;669.5
14.07.1980;644.5
15.07.1980;620.5
16.07.1980;625.5
17.07.1980;625.5
18.07.1980;608.5
21.07.1980;618.5
22.07.1980;614.5
23.07.1980;631.5
24.07.1980;641.5
25.07.1980;650.5
28.07.1980;644.5
29.07.1980;648.5
30.07.1980;630.5
31.07.1980;617.19
01.08.1980;621.5
04.08.1980;629.5
05.08.1980;629.5
06.08.1980;627.5
07.08.1980;629.5
08.08.1980;633.5
11.08.1980;617.5
12.08.1980;610.5
13.08.1980;614.5
14.08.1980;626.5
15.08.1980;624.5
18.08.1980;612.5
19.08.1980;623.5
20.08.1980;624.5
21.08.1980;643.5
22.08.1980;637.5
25.08.1980;637.5
26.08.1980;631.5
27.08.1980;634.5
28.08.1980;635.5
29.08.1980;632.5
01.09.1980;628.5
02.09.1980;640.5
03.09.1980;637.5
04.09.1980;647.5
05.09.1980;651.5
08.09.1980;672.5
09.09.1980;669
10.09.1980;684.5
11.09.1980;681.5
12.09.1980;687.5
15.09.1980;669.5
16.09.1980;669.5
17.09.1980;675.5
18.09.1980;672.5
19.09.1980;677.5
22.09.1980;711.5
23.09.1980;716
24.09.1980;708.5
25.09.1980;695.5
26.09.1980;698.5
29.09.1980;681.5
30.09.1980;670.5
01.10.1980;676.5
02.10.1980;670.5
03.10.1980;663.5
06.10.1980;678.5
07.10.1980;678.5
08.10.1980;676.5
09.10.1980;689.5
10.10.1980;684.5
13.10.1980;676.5
14.10.1980;669.5
15.10.1980;678.5
16.10.1980;673.5
17.10.1980;666.5
20.10.1980;651.5
21.10.1980;652.5
22.10.1980;659.5
23.10.1980;636.5
24.10.1980;632.5
27.10.1980;635.5
28.10.1980;631.5
29.10.1980;643.5
30.10.1980;642.5
31.10.1980;629.5
03.11.1980;642.5
04.11.1980;646.5
05.11.1980;648.5
06.11.1980;625.5
07.11.1980;598.5
10.11.1980;612.5
11.11.1980;599.5
12.11.1980;622.5
13.11.1980;621.5
14.11.1980;611.5
17.11.1980;611.5
18.11.1980;619.5
19.11.1980;628.5
20.11.1980;630.5
21.11.1980;636.5
24.11.1980;629.5
25.11.1980;621.5
26.11.1980;624.5
27.11.1980;622.5
28.11.1980;622.5
01.12.1980;633.5
02.12.1980;622.5
03.12.1980;627.5
04.12.1980;630.5
05.12.1980;613.5
08.12.1980;616.25
09.12.1980;607.5
10.12.1980;582.5
11.12.1980;554.5
12.12.1980;560.5
15.12.1980;575.5
16.12.1980;557.5
17.12.1980;580.5
18.12.1980;574.5
19.12.1980;584.5
22.12.1980;595.5
23.12.1980;604.5
24.12.1980;604.5
25.12.1980;604.5
26.12.1980;604.5
29.12.1980;592.5
30.12.1980;586.5
31.12.1980;589.5
01.01.1981;589.5
02.01.1981;589.5
05.01.1981;599.5
06.01.1981;601.5
07.01.1981;577.5
08.01.1981;575
09.01.1981;577.5
12.01.1981;562.5
13.01.1981;564.5
14.01.1981;559.5
15.01.1981;573.5
16.01.1981;561.5
19.01.1981;567.5
20.01.1981;564.5
21.01.1981;577.5
22.01.1981;558.5
23.01.1981;552.5
26.01.1981;579.5
27.01.1981;517.5
28.01.1981;524.5
29.01.1981;490.5
30.01.1981;506.5
02.02.1981;496.5
03.02.1981;488.5
04.02.1981;505.5
05.02.1981;491.5
06.02.1981;502.5
09.02.1981;516.5
10.02.1981;514.5
11.02.1981;500.5
12.02.1981;486.5
13.02.1981;493.5
16.02.1981;490.5
17.02.1981;504.5
18.02.1981;497.5
19.02.1981;502.5
20.02.1981;507.5
23.02.1981;502.5
24.02.1981;501.5
25.02.1981;499.5
26.02.1981;491.5
27.02.1981;490.5
02.03.1981;466.5
03.03.1981;472.5
04.03.1981;464.5
05.03.1981;463.5
06.03.1981;468.5
09.03.1981;477.5
10.03.1981;485.5
11.03.1981;473.5
12.03.1981;476.5
13.03.1981;492.5
16.03.1981;498.5
17.03.1981;492.5
18.03.1981;509.5
19.03.1981;508.5
20.03.1981;517.5
23.03.1981;531.5
24.03.1981;540.5
25.03.1981;528.5
26.03.1981;539.5
27.03.1981;539.5
30.03.1981;522.5
31.03.1981;507.5
01.04.1981;517.5
02.04.1981;520.5
03.04.1981;523.5
06.04.1981;531.5
07.04.1981;512.5
08.04.1981;509.5
09.04.1981;498.5
10.04.1981;492.5
13.04.1981;471.5
14.04.1981;485.5
15.04.1981;474.5
16.04.1981;474.5
17.04.1981;474.5
20.04.1981;482.5
21.04.1981;484.5
22.04.1981;500.5
23.04.1981;491.5
24.04.1981;495.5
27.04.1981;483.5
28.04.1981;482.5
29.04.1981;477.5
30.04.1981;482
01.05.1981;489.5
04.05.1981;489.5
05.05.1981;476.5
06.05.1981;480.5
07.05.1981;478.5
08.05.1981;488.5
11.05.1981;491.5
12.05.1981;482.5
13.05.1981;483.5
14.05.1981;477.5
15.05.1981;484.5
18.05.1981;481.5
19.05.1981;479
20.05.1981;479
21.05.1981;474
22.05.1981;473.5
25.05.1981;473.5
26.05.1981;468
27.05.1981;467
28.05.1981;478.5
29.05.1981;479.5
01.06.1981;482.5
02.06.1981;476.5
03.06.1981;474
04.06.1981;461
05.06.1981;461.5
08.06.1981;472.5
09.06.1981;456.5
10.06.1981;465.5
11.06.1981;465.5
12.06.1981;471.5
15.06.1981;470.5
16.06.1981;462.5
17.06.1981;475.5
18.06.1981;459.5
19.06.1981;462
22.06.1981;462.5
23.06.1981;465.5
24.06.1981;463
25.06.1981;445.5
26.06.1981;444
29.06.1981;429.5
30.06.1981;427.5
01.07.1981;425.5
02.07.1981;414.5
03.07.1981;414
06.07.1981;404
07.07.1981;407
08.07.1981;398
09.07.1981;406
10.07.1981;418
13.07.1981;414
14.07.1981;401
15.07.1981;415
16.07.1981;417.5
17.07.1981;418
20.07.1981;412
21.07.1981;407
22.07.1981;407
23.07.1981;407.5
24.07.1981;408.5
27.07.1981;403.5
28.07.1981;402.5
29.07.1981;402.5
30.07.1981;403
31.07.1981;406
03.08.1981;392
04.08.1981;390
05.08.1981;392.5
06.08.1981;395.5
07.08.1981;399
10.08.1981;396
11.08.1981;405.5
12.08.1981;416
13.08.1981;405.5
14.08.1981;414
17.08.1981;412
18.08.1981;419.5
19.08.1981;433
20.08.1981;430
21.08.1981;431
24.08.1981;420
25.08.1981;409.5
26.08.1981;415
27.08.1981;412
28.08.1981;412
31.08.1981;427
01.09.1981;425
02.09.1981;429.5
03.09.1981;436
04.09.1981;438
07.09.1981;437
08.09.1981;438.5
09.09.1981;436.5
10.09.1981;452.5
11.09.1981;450
14.09.1981;451
15.09.1981;459
16.09.1981;451
17.09.1981;456.25
18.09.1981;447.5
21.09.1981;466
22.09.1981;464
23.09.1981;455.5
24.09.1981;448
25.09.1981;446.5
28.09.1981;423
29.09.1981;431
30.09.1981;430.5
01.10.1981;435
02.10.1981;435.75
05.10.1981;455.5
06.10.1981;450
07.10.1981;444.5
08.10.1981;446
09.10.1981;453
12.10.1981;448.5
13.10.1981;443.25
14.10.1981;444.5
15.10.1981;444.5
16.10.1981;445
19.10.1981;436
20.10.1981;437
21.10.1981;430
22.10.1981;432
23.10.1981;430.5
26.10.1981;425.5
27.10.1981;428
28.10.1981;431
29.10.1981;424
30.10.1981;428
02.11.1981;432
03.11.1981;428
04.11.1981;431.25
05.11.1981;429.25
06.11.1981;428
09.11.1981;429.5
10.11.1981;415
11.11.1981;412.75
12.11.1981;410.5
13.11.1981;412
16.11.1981;404.5
17.11.1981;399.5
18.11.1981;402.5
19.11.1981;398.5
20.11.1981;415
23.11.1981;395.5
24.11.1981;400
25.11.1981;410.25
26.11.1981;409.5
27.11.1981;412.5
